timestamp,event_type,query_type,is_ddl,schema_table,event_size,affected_rows,affected_columns,query_length
2025-08-22 13:24:42,QueryEvent,CREATE,1,ecommerce_db,94,0,0,42
2025-08-22 13:24:49,QueryEvent,CREATE,1,ecommerce_db,232,0,0,180
2025-08-22 13:24:55,QueryEvent,CREATE,1,ecommerce_db,257,0,0,205
2025-08-22 13:25:02,QueryEvent,CREATE,1,ecommerce_db,273,0,0,221
2025-08-22 13:25:10,QueryEvent,CREATE,1,ecommerce_db,339,0,0,287
2025-08-22 13:40:19,WriteRowsEvent,INSERT,0,ecommerce_db.users,41,1,4,0
2025-08-22 13:40:19,WriteRowsEvent,INSERT,0,ecommerce_db.users,41,1,4,0
2025-08-22 13:40:19,WriteRowsEvent,INSERT,0,ecommerce_db.users,41,1,4,0
2025-08-22 13:40:19,WriteRowsEvent,INSERT,0,ecommerce_db.users,41,1,4,0
2025-08-22 13:40:19,WriteRowsEvent,INSERT,0,ecommerce_db.users,41,1,4,0
2025-08-22 13:40:19,WriteRowsEvent,INSERT,0,ecommerce_db.users,41,1,4,0
2025-08-22 13:40:19,WriteRowsEvent,INSERT,0,ecommerce_db.users,41,1,4,0
2025-08-22 13:40:19,WriteRowsEvent,INSERT,0,ecommerce_db.users,41,1,4,0
2025-08-22 13:40:19,WriteRowsEvent,INSERT,0,ecommerce_db.users,41,1,4,0
2025-08-22 13:40:19,WriteRowsEvent,INSERT,0,ecommerce_db.users,43,1,4,0
2025-08-22 13:40:19,WriteRowsEvent,INSERT,0,ecommerce_db.products,39,1,5,0
2025-08-22 13:40:19,WriteRowsEvent,INSERT,0,ecommerce_db.products,39,1,5,0
2025-08-22 13:40:19,WriteRowsEvent,INSERT,0,ecommerce_db.products,39,1,5,0
2025-08-22 13:40:19,WriteRowsEvent,INSERT,0,ecommerce_db.products,39,1,5,0
2025-08-22 13:40:19,WriteRowsEvent,INSERT,0,ecommerce_db.products,39,1,5,0
2025-08-22 13:40:19,WriteRowsEvent,INSERT,0,ecommerce_db.products,39,1,5,0
2025-08-22 13:40:19,WriteRowsEvent,INSERT,0,ecommerce_db.products,39,1,5,0
